VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Latitude,Longitude
1V2GNPE87P,King,Redmond,WA,98052.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1207376,47.6705374
1N4BZ1BV8M,King,Seattle,WA,98125.0,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.304356,47.715668
1N4BZ1CP5K,Kitsap,Bainbridge Island,WA,98110.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.5305071,47.6400595
7SAXCAE50P,King,Kirkland,WA,98033.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
2C4RC1L74P,King,Seattle,WA,98125.0,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.304356,47.715668
KM8KNDDF6R,King,Kirkland,WA,98034.0,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.2026532,47.7210518
JTMEB3FV4N,King,Shoreline,WA,98155.0,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.301507,47.761784
1FTVW1EL3P,King,Seattle,WA,98104.0,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3276518,47.6018349
5UXTA6C05P,King,Snoqualmie,WA,98065.0,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-121.8472211,47.5204834
7SAYGAEE0R,King,Bellevue,WA,98006.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.144149,47.560742
JTMEB3FV1R,King,Kent,WA,98042.0,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.1145138,47.3581107
7FCTGAAA3P,King,Auburn,WA,98001.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.2651204,47.3164638
JTMEB3FV4R,King,Kirkland,WA,98033.0,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.1925969,47.676241
5YJ3E1EB8M,Clallam,Port Angeles,WA,98363.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-123.5601786,48.1134045
7SAXCAE55R,Snohomish,Monroe,WA,98272.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-121.968385,47.854897
KM8K23AG3P,King,Kirkland,WA,98033.0,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1925969,47.676241
5YJXCAE23K,King,Kirkland,WA,98033.0,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1925969,47.676241
WBY83FB07R,King,Seattle,WA,98122.0,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3128637,47.6104992
WP1AE2A27J,Clark,Vancouver,WA,98685.0,2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.688741,45.711311
KM8KRDDF8R,King,Renton,WA,98058.0,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1476337,47.4438471
1FMCU0EZ6N,Kitsap,Bremerton,WA,98337.0,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.632139,47.569172
KNDCE3LG2N,Kitsap,Port Orchard,WA,98366.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.6064912,47.5236145
1N4AZ0CP0E,King,Newcastle,WA,98056.0,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1819876,47.5098889
1G1FW6S05P,King,Seattle,WA,98104.0,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3276518,47.6018349
5YJXCAE28L,King,Bellevue,WA,98006.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.144149,47.560742
7JRBR0FL0K,King,Seattle,WA,98101.0,2019,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.3340795,47.6099315
JTMABACA6P,King,Kirkland,WA,98034.0,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.2026532,47.7210518
1G1FY6S06M,King,Bothell,WA,98011.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.201408,47.754528
5YJXCDE24H,King,Kirkland,WA,98033.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1925969,47.676241
1N4AZ1CP1K,King,Sammamish,WA,98074.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.0430602,47.6259676
1V2VMPE85P,King,Burien,WA,98146.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.3551826,47.5000521
1N4AZ0CP4F,King,Seattle,WA,98116.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.395519,47.572137
7SAXCBE63N,Clark,Vancouver,WA,98682.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.5286031,45.6686601
7SAYGDEE8R,King,Auburn,WA,98092.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1550193,47.2884536
WA1F2AFY2L,King,Seattle,WA,98107.0,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.3788863,47.6702397
WVGJNPE20N,King,Newcastle,WA,98056.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.1819876,47.5098889
1N4AZ0CPXF,King,Seattle,WA,98125.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.304356,47.715668
